Character_Name, Character_Type, Population,Aspect_Ratio,Japanese_Character
so,Hiragana,19.384615384615383;23.076923076923077;23.53846153846154;44.391025641025635;48.92307692307693;10.461538461538462;28.044871794871796;26.461538461538463;7.6923076923076925;0;31.840000000000003;44.5;50.72;44.333333333333336;16.48;0;29.326923076923077;0;0;0;0;15.064102564102564;30.153846153846153;11.698717948717949;0,0.9534883499145508,‚»
so,Hiragana,19.400352733686066;22.22222222222222;26.63139329805996;49.029982363315696;35.09700176366843;39.010989010989015;50.73260073260073;46.88644688644688;24.90842490842491;22.52747252747253;3.527336860670194;26.807760141093475;28.74779541446208;28.57142857142857;16.402116402116402;0;31.5018315018315;0;0;0;0;12.698412698412698;28.21869488536155;26.63139329805996;1.0582010582010581,0.7894737124443054,‚»
so,Hiragana,0;3.110047846889952;34.21052631578947;65.78947368421053;19.617224880382775;3.110047846889952;33.97129186602871;49.52153110047847;26.555023923444978;20.095693779904305;45.933014354066984;48.5645933014354;62.44019138755981;40.430622009569376;17.22488038277512;0;29.665071770334926;3.110047846889952;0;0;0;2.3923444976076556;35.16746411483253;36.36363636363637;26.555023923444978,1.1578947305679321,‚»
ta,Hiragana,0;0;34.08521303258145;0;0;27.819548872180448;33.583959899749374;48.1203007518797;28.57142857142857;27.56892230576441;4.0669856459330145;36.84210526315789;11.483253588516746;10.047846889952153;4.0669856459330145;0;37.59398496240601;8.771929824561402;26.065162907268167;37.84461152882205;2.0050125313283207;16.290726817042607;7.769423558897243;36.59147869674185;21.303258145363408,0.8962264060974121,‚½
ta,Hiragana,0;0;34.090909090909086;0;0;30;30.303030303030305;51.13636363636363;27.27272727272727;26.136363636363637;0;29.87012987012987;16.363636363636363;20.12987012987013;1.5909090909090908;3.6363636363636362;35.4978354978355;1.8181818181818181;10.606060606060606;24.31818181818182;12.727272727272727;2.1645021645021645;20.909090909090907;32.900432900432904;26.81818181818182,0.9272727370262146,‚½
ta,Hiragana,0;0;34.92822966507177;0;0;17.727272727272727;18.181818181818183;49.282296650717704;15.909090909090908;8.409090909090908;8.478260869565217;30.869565217391305;34.32494279176201;25.217391304347824;17.17391304347826;0.22727272727272727;37.5;1.9138755980861244;17.954545454545453;27.727272727272727;7.727272727272727;7.2727272727272725;26.794258373205743;31.818181818181817;10.227272727272728,0.8918918967247009,‚½
ta,Hiragana,0;0;32.581453634085214;0;0;33.33333333333333;38.611111111111114;52.116402116402114;33.33333333333333;32.22222222222222;0;35;7.518796992481203;10;0.2631578947368421;3.6111111111111107;37.5;12.16931216931217;26.38888888888889;11.944444444444445;3.1578947368421053;2.631578947368421;28.07017543859649;38.15789473684211;5.7894736842105265,1.0860215425491333,‚½
ta,Hiragana,0;0;26.535087719298247;0;0;22.883295194508012;34.55377574370709;47.14912280701755;31.57894736842105;31.12128146453089;9.782608695652174;37.391304347826086;9.166666666666666;10.434782608695652;0;4.3478260869565215;30.205949656750576;9.649122807017543;34.32494279176201;25.85812356979405;31.80778032036613;2.2883295194508007;34.64912280701755;40.045766590389015;10.297482837528605,1.2083333730697632,‚½
chi,Hiragana,0;0;34.89278752436647;0;0;23.035714285714285;34.464285714285715;40.41353383458647;21.428571428571427;8.214285714285714;0;43.148148148148145;29.239766081871345;25.925925925925924;34.25925925925926;0;8.75;0;0;35.535714285714285;0;0;3.508771929824561;32.77777777777778;13.333333333333334,0.7226277589797974,‚¿
chi,Hiragana,0;3.4482758620689653;26.17554858934169;0;0;19.905956112852667;43.8871473354232;23.824451410658305;20.689655172413794;6.896551724137931;4.393939393939394;37.57575757575757;22.12121212121212;20;18.181818181818183;9.87460815047022;17.86833855799373;0.1567398119122257;0;31.03448275862069;0;0;0;16.77115987460815;25.07836990595611,0.7534246444702148,‚¿
